quest_uid,description,media_required,points_label
18,"Video.  Video of a woman (18+) to flash a team member while yelling “This is for the Brotherhood!” and throw glitter, confetti, or a napkin in the air for dramatic effect.",video,"Bonus: 1 point if she’s wearing Pride merch, 1 point if it happens at a bar"
19,"Video.  Make a new, attractive, sane, gay friend and record them on a video giving a “testimonial” about why they’d join the Brotherhood ",video,"Bonus: 1 point if they join for a drink, 10 points if they agree to attend the afterparty."
20,"Photo. Take a picture of a man and woman kissing, but the couple must be holding hands with one of your team members while doing it ",photo,
21,Video.  Film a team member proposing to a stranger using any random object as a ring.,video,Bonus: 1 point if they say yes
22,Video.  Video of team members making up a cheer for The Brotherhood.,video,
23,Video.  Video in front of Independence Hall of at least one team member giving a declaration-style speech.,video,Bonus:  Automatic 20 point bonus for getting to Independence Hall
24,Video.  Video two guys making out who aren't on your team.,video,"Bonus: 1 point if they’re both straight, 10 points if they shout “For the Brotherhood!” before kissing"
25,"Video.  Video of a team member carrying another piggyback while shouting “Onward, noble steed!” ",video,"Bonus: 1 point if the rider holds a cocktail, "
26,"Video.  At Knock, find someone 65+ and record a video of a team member kissing them on the cheek while they bless your “Brotherhood union,” ",video,"Bonus: 10 points if it’s on the lips, 5 points if they offer life advice afterward"
27,Video.  Film a team member sipping and dramatically reviewing a bubble tea like it’s a fine wine. ,video,"Bonus: 1 point if they spill some dramatically, 1 point if the review includes the phrase “notes of chaos”."
28,"Photo. Take a solemn photo in front of the Eliza Sproat Turner guild building, posing as if you’re in a queer period drama.",photo,
29,Photo.  Have at least one team member take a photo in front of the historical marker for Dewey’s Sit-Ins (1965 LGBT demonstrations),photo,
30,"Photo.  Buy a copy of Jason's book, Asher and the Prince, on Amazon and take a screen shot of the purchase confirmation",photo,Full credit for completion
31,"Photo. Have at least one team member take a photo in front of the John E. Fryer, M.D. Historical Marker — “Dr. Anonymous” who helped end APA’s pathologizing of homosexuality.  Where: S 13th St just north of Locust St (Gayborhood)",photo,
32,Photo.  Have at least three team members take a photo in front of Philly AIDS Thrift @ Giovanni’s Room (with state marker) — oldest continuously operating LGBTQ bookstore in the U.S.,photo,
33,"Photo.  Have at least two team members take a photo in front of the “Pride & Progress” Mural (Ann Northrup) — block-long LGBTQ history mural on William Way’s west wall. Where: William Way LGBT Community Center, 1315 Spruce St",photo,
34,Photo.  Have at least three team members take a photo in front of the John C. Anderson Apartments (LGBTQ-friendly senior housing) — community landmark for LGBTQ elders,photo,
35,Video.  Take a video at the bar that used to be a horse stall while one teammate dramatically “gallops” across the scene.,video,"Bonus: 1 point if someone neighs, 1 point if a stranger volunteers as a horse."
36,Video.  At least three members sing “This Ain’t Texas” on video on the corner of 12th and Locust ,video,"Bonus: 1 point if more than three members participate, 10 points if you get strangers to join in."
37,"Video.  Video of a team member running down Camac Street in your underwear holding a Pride flag or waving an accessory overhead,",video,"Bonus: 1 point if done during daylight, 1 point if someone applauds."
38,Video.  Video of a team member hugging a stranger for at least five seconds while maintaining eye contact.,video,"Bonus: 5 points if the stranger says, ""I needed that"" after."
39,"Video.  Record a video of at least two team members singing “Espresso” by Sabrina Carpenter in an Uber, Lyft, or train — choreography encouraged.",video,Bonus: 10 points if the driver joins in.
40,Video.  Take a video of at least two members on a rooftop bar while toasting your drinks and reciting a self-written “Brotherhood Oath” ,video,"Bonus:  1 point if someone howls, 1 point if you attract onlookers."
41,"Video.  Convince strangers in a bar to pose in a massive group video selfie, chanting “Brotherhood!”",video,"Bonus: 1 point if at least one drag queen joins, 1 point if the bartender photobombs, 5 points if the bartender is Trevor."
42,Video.  Find a stranger and film them performing a song from Barbie (2023) or The Greatest Showman.,video,"Bonus: 1 point if it’s “I’m Just Ken,” 10 points if they commit like it’s Broadway"
43,Video.  Take a video of a team member doing a body shot off another teammate with flair.,video,"Bonus: 1 point if you get applause, 1 point if you do it in public."
44,Photo.  Have a teammate get a piercing or temporary tattoo that represents the Brotherhood.,photo,"Bonus: 1 point if it’s visible, 10 points if it says “7429”"
45,Photo.  Take a photo of a cute twink (not on your team) at a bar giving his best thirst trap pose.,photo,
46,Photo.  Shave a teammate’s chest into a pattern or word and take a photo. ,photo,
47,"Video.  Create a fake perfume commercial called Eau de Brotherhood filmed in black and white — slow turns, shirtless posing, and someone whispering “lust… loyalty… Locust” required.",video,
48,Video.  Shave a teammate’s hole with a steady hand on video ,video,Bonus: 10 points if someone hums/plays Ave Maria
49,Photo.  Take a towel selfie at Club Philly with at least one other team member.,photo,"Bonus: 1 point if at least three are shirtless, 1 point if a stranger joins"
50,Photo. Take a picture of a staged three-way kiss (with at least one stranger).,photo,
51,Video.  Record a team member peeing on another (consensually) while singing “Let It Go”.,video,"Bonus: 10 points if the “target” harmonizes, 1 point if the key change lands."
52,Video.  Perform the chicken dance outside Wishbone using actual music or hummed accompaniment on video.,video,"Bonus: 1 point if it’s synchronized, 1 point if a stranger joins"
53,Video.  Film a team member performing a song at Tavern with the pianist — Broadway style.,video,
54,Photo.  Get a photo of a teammate wearing something leather at Bike Stop while striking a Vogue pose.,photo,"Bonus: 1 point if it squeaks, 1 point if it’s borrowed."
55,Video.  Film a fake protest outside a gay bar holding handmade signs that say absurd slogans like “Justice for Bottoms!” or “Equal Rights for Tops!”,video,"Bonus: 10 points if a stranger honks in support, 1 point if someone gives a stump speech."
56,Photo. The Donut Dilemma – Buy glazed donuts. Do the funniest thing with them involving genitalia.  ,photo,"Bonus: 5 points per member in the photo, max 35 points"
57,Drinks.  At least three team members take a photo drinking Fireball shots at Ubar.,photo,Bonus: 1 point if the bartender joins
58,Drinks.  At least 3 team members drink Bud Lite together at the Bike Stop,photo,
59,Drinks.  Video of at least two team members chugging a martini at Knock.,video,
60,Drinks.  Photo of someone your team drinking a cider.,photo,
61,Drinks.  Photo of at least two team members taking a shot on the roof at Little Gay Pub.,photo,
62,Drinks.  Photo of at least three team members taking a shot at Stir.,photo,
63,Drinks.  Photo of at least three team members with drinks at X Bar,photo,
64,"Photo.   Photo of a hand drawn love letter to a teammate on a drink napkin, styled like a birthday note from Trump to Epstein",photo,Bonus: 10 points for finding the unredacted Epstein list.
